epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,6649.88,0.1973,0.14509,0.77103,0.8906,0.84997,0.88352,0.64894,1.46511,1.18309,1.10933,0.00068948,0.00068948,0.00068948
96,6718.02,0.19782,0.1445,0.77149,0.89931,0.84793,0.88439,0.64078,1.47592,1.19629,1.11313,0.000679797,0.000679797,0.000679797
97,6786.89,0.19763,0.14471,0.76979,0.8993,0.84945,0.88546,0.65238,1.47116,1.20546,1.10618,0.000670102,0.000670102,0.000670102
98,6856.02,0.1949,0.14237,0.76989,0.8977,0.84922,0.87954,0.63669,1.46639,1.20883,1.10516,0.000660397,0.000660397,0.000660397
99,6924.88,0.1985,0.14356,0.76943,0.89006,0.8505,0.88083,0.65032,1.46412,1.20206,1.10585,0.000650685,0.000650685,0.000650685
100,6992.75,0.1959,0.14298,0.76955,0.91423,0.82264,0.87862,0.64042,1.46378,1.227,1.10664,0.000640969,0.000640969,0.000640969
101,7061.16,0.19453,0.14235,0.77039,0.91619,0.82054,0.86897,0.62688,1.46809,1.25472,1.10973,0.00063125,0.00063125,0.00063125
102,7129.34,0.1878,0.13878,0.76977,0.91597,0.8192,0.86582,0.63508,1.46919,1.21494,1.11008,0.000621531,0.000621531,0.000621531
103,7197.61,0.19074,0.14004,0.77026,0.91841,0.82071,0.87727,0.6426,1.47962,1.23502,1.11563,0.000611815,0.000611815,0.000611815
104,7265.69,0.19127,0.13969,0.77046,0.89048,0.85404,0.88259,0.64645,1.47085,1.27583,1.10995,0.000602103,0.000602103,0.000602103
105,7333.91,0.18628,0.13757,0.77094,0.90536,0.8406,0.88051,0.64716,1.47718,1.25074,1.11232,0.000592398,0.000592398,0.000592398
106,7402.2,0.17992,0.13375,0.76993,0.89595,0.85006,0.88161,0.64168,1.47495,1.24839,1.10994,0.000582703,0.000582703,0.000582703
107,7470.61,0.18378,0.13601,0.77008,0.89574,0.8487,0.87933,0.64335,1.47134,1.21343,1.11448,0.00057302,0.00057302,0.00057302
108,7538.48,0.18525,0.13529,0.76986,0.90757,0.84345,0.87958,0.64922,1.47321,1.22351,1.11295,0.000563352,0.000563352,0.000563352
109,7606.69,0.18257,0.13466,0.76977,0.91498,0.82403,0.8804,0.64931,1.4692,1.24463,1.10908,0.0005537,0.0005537,0.0005537
110,7675.01,0.17918,0.13314,0.76908,0.90183,0.82989,0.86659,0.62767,1.47622,1.23948,1.11721,0.000544067,0.000544067,0.000544067
111,7744.14,0.17893,0.13243,0.76804,0.9093,0.82989,0.8796,0.64709,1.46994,1.22077,1.11573,0.000534456,0.000534456,0.000534456
112,7812.29,0.17685,0.13124,0.76953,0.89646,0.84809,0.87978,0.6468,1.47646,1.20861,1.11836,0.000524869,0.000524869,0.000524869
113,7880.73,0.17527,0.13029,0.76911,0.86971,0.86903,0.88245,0.64906,1.46953,1.22802,1.11038,0.000515308,0.000515308,0.000515308
114,7949.47,0.17888,0.13169,0.7696,0.9138,0.82763,0.88097,0.64244,1.47979,1.24039,1.12089,0.000505775,0.000505775,0.000505775
115,8017.82,0.17725,0.13082,0.76921,0.8836,0.84432,0.87726,0.645,1.4715,1.21663,1.11308,0.000496274,0.000496274,0.000496274
116,8087.19,0.17576,0.13016,0.76946,0.90906,0.81157,0.87553,0.63775,1.46537,1.20727,1.11132,0.000486806,0.000486806,0.000486806
117,8156.55,0.1668,0.1254,0.76873,0.90633,0.82362,0.87714,0.64251,1.46706,1.22671,1.11299,0.000477373,0.000477373,0.000477373
118,8225.86,0.16865,0.12612,0.76842,0.91017,0.82492,0.87965,0.64172,1.47303,1.23476,1.11505,0.000467979,0.000467979,0.000467979
119,8295.27,0.16773,0.12568,0.7684,0.88599,0.85095,0.88032,0.65055,1.46384,1.23972,1.10938,0.000458624,0.000458624,0.000458624
120,8364.76,0.16966,0.12578,0.76743,0.90849,0.81492,0.87595,0.64269,1.46252,1.22844,1.10986,0.000449313,0.000449313,0.000449313
121,8434.19,0.16667,0.12362,0.76848,0.83039,0.84923,0.86043,0.62969,1.46405,1.20957,1.11279,0.000440046,0.000440046,0.000440046
122,8503.88,0.16576,0.1237,0.76889,0.89296,0.81347,0.87381,0.64547,1.47237,1.243,1.11443,0.000430826,0.000430826,0.000430826
123,8573.55,0.16444,0.12203,0.76924,0.89759,0.82897,0.87416,0.63308,1.46497,1.21882,1.11032,0.000421656,0.000421656,0.000421656
124,8643.16,0.16483,0.12275,0.76792,0.88342,0.82202,0.87739,0.63646,1.46732,1.25959,1.11428,0.000412537,0.000412537,0.000412537
125,8713.1,0.16305,0.12225,0.76772,0.88483,0.83749,0.86818,0.62823,1.46891,1.24454,1.11688,0.000403473,0.000403473,0.000403473
126,8782.71,0.16381,0.12184,0.7683,0.8619,0.84369,0.86919,0.62727,1.46692,1.22971,1.11399,0.000394465,0.000394465,0.000394465
127,8852.14,0.15974,0.11997,0.768,0.87501,0.84452,0.86899,0.62675,1.46789,1.23933,1.11361,0.000385515,0.000385515,0.000385515
128,8922.67,0.1578,0.11947,0.76832,0.88658,0.82267,0.85181,0.6187,1.47449,1.25733,1.11986,0.000376625,0.000376625,0.000376625
129,8991.56,0.16013,0.12003,0.76772,0.85925,0.85809,0.87661,0.64235,1.46869,1.26357,1.1156,0.000367799,0.000367799,0.000367799
130,9060.75,0.15914,0.11887,0.76747,0.87642,0.8369,0.85253,0.61919,1.4715,1.23603,1.12105,0.000359038,0.000359038,0.000359038
131,9130.04,0.15655,0.11766,0.76851,0.87966,0.82526,0.84962,0.61505,1.47056,1.2237,1.11781,0.000350343,0.000350343,0.000350343
132,9199.12,0.155,0.11644,0.76871,0.87563,0.82983,0.84856,0.61039,1.47296,1.25625,1.11955,0.000341718,0.000341718,0.000341718
133,9268.51,0.15488,0.11675,0.76676,0.85401,0.85172,0.85984,0.62839,1.46691,1.25072,1.11791,0.000333165,0.000333165,0.000333165
134,9336.97,0.1555,0.11685,0.76725,0.87707,0.83602,0.84981,0.60953,1.47477,1.28424,1.12048,0.000324685,0.000324685,0.000324685
135,9405.49,0.15134,0.1136,0.76678,0.88082,0.8258,0.84948,0.61044,1.47616,1.27057,1.12267,0.000316281,0.000316281,0.000316281
136,9474.04,0.15335,0.11493,0.76821,0.91121,0.79608,0.85779,0.61443,1.46706,1.23056,1.11731,0.000307954,0.000307954,0.000307954
137,9542.77,0.15276,0.11475,0.76815,0.8601,0.8456,0.85928,0.61851,1.46878,1.24585,1.11939,0.000299707,0.000299707,0.000299707
138,9611.06,0.14977,0.11379,0.76901,0.90894,0.79716,0.84745,0.61125,1.47091,1.24455,1.11998,0.000291542,0.000291542,0.000291542
139,9679.67,0.14804,0.11212,0.76732,0.90007,0.80518,0.84757,0.61674,1.47095,1.27192,1.12098,0.000283461,0.000283461,0.000283461
140,9747.89,0.14697,0.11145,0.76715,0.89533,0.8158,0.84856,0.61352,1.47468,1.25728,1.12175,0.000275466,0.000275466,0.000275466
141,9816.5,0.14627,0.11117,0.7674,0.90783,0.79752,0.84735,0.61194,1.47685,1.25722,1.12232,0.000267558,0.000267558,0.000267558
142,9885.44,0.14795,0.11169,0.76715,0.90927,0.79871,0.85022,0.60721,1.47917,1.26891,1.12162,0.00025974,0.00025974,0.00025974
143,9954.08,0.14699,0.11117,0.76705,0.9071,0.79995,0.84928,0.60618,1.4731,1.26544,1.12265,0.000252014,0.000252014,0.000252014
144,10026.1,0.14795,0.11188,0.76602,0.90653,0.79719,0.84852,0.61164,1.47617,1.25727,1.12338,0.000244381,0.000244381,0.000244381
145,10102.5,0.14539,0.11057,0.7676,0.85763,0.84363,0.85032,0.61246,1.47447,1.26249,1.12369,0.000236844,0.000236844,0.000236844
146,10174.9,0.14599,0.11062,0.76807,0.9009,0.80114,0.84546,0.612,1.47488,1.26149,1.12223,0.000229404,0.000229404,0.000229404
147,10240.4,0.14164,0.10775,0.7672,0.88382,0.81963,0.84915,0.61668,1.47128,1.26242,1.12193,0.000222063,0.000222063,0.000222063
148,10306.3,0.14257,0.1087,0.76621,0.90357,0.80086,0.84607,0.6126,1.47737,1.2846,1.12319,0.000214824,0.000214824,0.000214824
149,10372.2,0.13993,0.10731,0.76714,0.89965,0.80006,0.84398,0.6158,1.47872,1.27354,1.12298,0.000207686,0.000207686,0.000207686
150,10439,0.1419,0.10863,0.76677,0.90175,0.80065,0.84614,0.61162,1.4762,1.26638,1.12102,0.000200654,0.000200654,0.000200654
151,10505.4,0.14272,0.10823,0.76715,0.90209,0.80147,0.84878,0.61306,1.47431,1.26525,1.12122,0.000193728,0.000193728,0.000193728
152,10571.8,0.14389,0.1088,0.76649,0.89094,0.80365,0.84549,0.6179,1.47548,1.25133,1.12126,0.000186909,0.000186909,0.000186909
153,10638.2,0.14032,0.1064,0.76649,0.88516,0.81186,0.84969,0.61637,1.47777,1.25505,1.12273,0.000180201,0.000180201,0.000180201
154,10704.6,0.13902,0.1056,0.76656,0.88526,0.80988,0.84722,0.61759,1.47751,1.25739,1.12528,0.000173603,0.000173603,0.000173603
155,10771.3,0.13732,0.1051,0.76679,0.88835,0.80888,0.84704,0.61746,1.47877,1.2678,1.12409,0.000167119,0.000167119,0.000167119
156,10837.6,0.13768,0.10492,0.76634,0.88819,0.80583,0.84608,0.61915,1.47749,1.26925,1.12483,0.000160749,0.000160749,0.000160749
157,10904.3,0.1369,0.10533,0.768,0.88412,0.80793,0.84811,0.62088,1.47552,1.26302,1.12282,0.000154495,0.000154495,0.000154495
158,10970.7,0.13444,0.10304,0.76578,0.85327,0.83682,0.84812,0.6225,1.4803,1.26795,1.12536,0.000148359,0.000148359,0.000148359
159,11037.5,0.13635,0.10489,0.76673,0.89238,0.80456,0.84798,0.61712,1.48051,1.26519,1.12693,0.000142342,0.000142342,0.000142342
160,11103.9,0.13781,0.10502,0.76571,0.90136,0.8,0.84833,0.61546,1.47823,1.26636,1.12612,0.000136445,0.000136445,0.000136445
161,11171.1,0.13312,0.1022,0.76713,0.89721,0.80598,0.85037,0.62121,1.47772,1.27029,1.12682,0.000130671,0.000130671,0.000130671
162,11237.8,0.13712,0.10383,0.766,0.89723,0.80286,0.84885,0.61891,1.48341,1.27255,1.13006,0.00012502,0.00012502,0.00012502
163,11304.6,0.13414,0.10284,0.76748,0.88793,0.80234,0.84585,0.616,1.48197,1.26924,1.12928,0.000119494,0.000119494,0.000119494
164,11371.4,0.13464,0.10302,0.76674,0.90426,0.78659,0.8446,0.61628,1.47889,1.26995,1.12822,0.000114094,0.000114094,0.000114094
165,11438.1,0.13338,0.10249,0.76608,0.89365,0.80365,0.84776,0.61659,1.48112,1.26761,1.12924,0.000108822,0.000108822,0.000108822
166,11504.8,0.13426,0.10228,0.76621,0.86296,0.8085,0.84497,0.61397,1.48234,1.26742,1.13004,0.000103679,0.000103679,0.000103679
167,11571.6,0.13252,0.10147,0.76706,0.89876,0.78742,0.84635,0.61648,1.48156,1.27051,1.1294,9.86659e-05,9.86659e-05,9.86659e-05
168,11638.9,0.13195,0.10187,0.76692,0.90171,0.78463,0.84439,0.61419,1.48166,1.26119,1.1292,9.37843e-05,9.37843e-05,9.37843e-05
169,11705.8,0.13131,0.10172,0.76711,0.89802,0.78618,0.84435,0.61565,1.4833,1.26214,1.13032,8.90352e-05,8.90352e-05,8.90352e-05
170,11773,0.13099,0.10073,0.76685,0.85529,0.82075,0.84638,0.60817,1.4807,1.26682,1.1271,8.442e-05,8.442e-05,8.442e-05
171,11840.2,0.13261,0.10132,0.76623,0.85761,0.81671,0.84646,0.61408,1.47888,1.26251,1.12647,7.99397e-05,7.99397e-05,7.99397e-05
172,11907.2,0.13143,0.10111,0.76646,0.85676,0.82078,0.84733,0.6166,1.4804,1.2597,1.12886,7.55954e-05,7.55954e-05,7.55954e-05
173,11973.9,0.12878,0.09875,0.7671,0.85557,0.82388,0.84714,0.61441,1.4845,1.26889,1.13103,7.13883e-05,7.13883e-05,7.13883e-05
174,12040.7,0.13033,0.09995,0.76698,0.85569,0.82533,0.8474,0.61522,1.48023,1.26732,1.12768,6.73192e-05,6.73192e-05,6.73192e-05
175,12108.4,0.12968,0.09964,0.76697,0.90214,0.78593,0.84411,0.6168,1.48228,1.26876,1.13053,6.33893e-05,6.33893e-05,6.33893e-05
176,12176,0.131,0.10002,0.76654,0.89297,0.80077,0.84828,0.61719,1.48088,1.27327,1.12939,5.95995e-05,5.95995e-05,5.95995e-05
177,12243.4,0.1301,0.10016,0.7658,0.85627,0.82298,0.84736,0.6145,1.47875,1.26699,1.12884,5.59508e-05,5.59508e-05,5.59508e-05
178,12310.6,0.12838,0.0993,0.7674,0.89321,0.80065,0.84825,0.61832,1.4784,1.26779,1.12813,5.2444e-05,5.2444e-05,5.2444e-05
179,12377.1,0.13069,0.10014,0.76573,0.85813,0.82203,0.84733,0.61706,1.47883,1.26719,1.12917,4.908e-05,4.908e-05,4.908e-05
